Jour,Product_ID,Stock,Consommation,Reapprovisionnement
2025-01-02,P031,361,20,57
2025-01-02,P032,129,21,0
2025-01-02,P033,479,17,0
2025-01-02,P034,235,9,0
2025-01-02,P035,105,41,0
2025-01-02,P036,56,10,0
2025-01-02,P037,452,35,0
2025-01-02,P038,213,7,0
2025-01-02,P039,409,24,0
2025-01-02,P040,83,5,0
2025-01-02,P041,287,36,0
2025-01-02,P042,82,32,0
2025-01-02,P043,166,27,64
2025-01-02,P044,131,46,0
2025-01-02,P045,215,34,0
2025-01-02,P046,355,37,0
2025-01-02,P047,130,3,0
2025-01-02,P048,434,41,0
2025-01-02,P049,486,16,0
2025-01-02,P050,157,18,0
2025-01-03,P001,250,7,0
2025-01-03,P002,190,14,0
2025-01-03,P003,342,47,0
2025-01-03,P004,495,2,83
2025-01-03,P005,490,13,86
2025-01-03,P006,238,9,0
2025-01-03,P007,78,15,0
2025-01-03,P008,56,18,7
2025-01-03,P009,102,12,0
2025-01-03,P010,457,47,0
2025-01-03,P011,301,10,59
2025-01-03,P012,415,8,0
2025-01-03,P013,405,28,41
2025-01-03,P014,150,3,0
2025-01-03,P015,340,18,0
2025-01-03,P016,20,0,0
2025-01-03,P017,331,25,0
2025-01-03,P018,449,25,26
2025-01-03,P019,307,17,0
2025-01-03,P020,359,17,0
2025-01-03,P021,52,0,0
2025-01-03,P022,303,42,0
2025-01-03,P023,248,39,0
2025-01-03,P024,55,1,14
2025-01-03,P025,73,35,0
2025-01-03,P026,378,1,0
2025-01-03,P027,57,45,19
2025-01-03,P028,461,25,0
2025-01-03,P029,57,11,0
2025-01-03,P030,412,18,0
2025-01-03,P031,381,6,34
2025-01-03,P032,110,14,0
2025-01-03,P033,150,12,15
2025-01-03,P034,481,20,0
2025-01-03,P035,341,36,0
2025-01-03,P036,231,43,6
2025-01-03,P037,229,8,90
2025-01-03,P038,33,30,77
2025-01-03,P039,405,6,18
2025-01-03,P040,98,2,91
2025-01-03,P041,269,14,56
2025-01-03,P042,248,37,0
2025-01-03,P043,117,34,0
2025-01-03,P044,206,31,5
2025-01-03,P045,176,26,0
2025-01-03,P046,40,10,0
2025-01-03,P047,102,17,12
2025-01-03,P048,453,11,0
2025-01-03,P049,174,4,34
2025-01-03,P050,163,0,0
2025-01-04,P001,219,15,54
2025-01-04,P002,340,23,0
2025-01-04,P003,363,18,38
2025-01-04,P004,53,37,8
2025-01-04,P005,379,32,100
2025-01-04,P006,288,7,0
2025-01-04,P007,355,43,0
2025-01-04,P008,272,20,0
2025-01-04,P009,306,28,0
2025-01-04,P010,36,0,0
2025-01-04,P011,323,26,15
2025-01-04,P012,356,0,0
2025-01-04,P013,324,11,0
2025-01-04,P014,198,36,0
2025-01-04,P015,113,9,0
2025-01-04,P016,286,49,0
2025-01-04,P017,216,40,84
2025-01-04,P018,217,26,0
2025-01-04,P019,95,41,0
2025-01-04,P020,59,42,81
2025-01-04,P021,300,22,0
2025-01-04,P022,305,42,0
2025-01-04,P023,398,39,54
2025-01-04,P024,163,8,0
2025-01-04,P025,142,39,0
2025-01-04,P026,403,31,67
2025-01-04,P027,218,39,0
2025-01-04,P028,334,45,0
2025-01-04,P029,21,9,0
2025-01-04,P030,107,22,0
2025-01-04,P031,95,23,0
2025-01-04,P032,240,37,0
2025-01-04,P033,258,33,58
2025-01-04,P034,32,23,0
2025-01-04,P035,99,20,0
2025-01-04,P036,92,23,62
2025-01-04,P037,137,14,0
2025-01-04,P038,132,34,0
2025-01-04,P039,186,25,0
2025-01-04,P040,46,13,0
2025-01-04,P041,490,0,37
2025-01-04,P042,404,42,0
2025-01-04,P043,279,2,0
2025-01-04,P044,174,13,49
2025-01-04,P045,249,18,0
2025-01-04,P046,475,0,0
2025-01-04,P047,38,13,0
2025-01-04,P048,244,19,0
2025-01-04,P049,250,8,0
2025-01-04,P050,434,29,0
2025-01-05,P001,187,10,0
2025-01-05,P002,48,9,0
2025-01-05,P003,94,0,0
2025-01-05,P004,45,1,100
2025-01-05,P005,92,11,0
2025-01-05,P006,217,50,0
2025-01-05,P007,481,13,0
2025-01-05,P008,281,13,0
2025-01-05,P009,487,42,0
2025-01-05,P010,478,15,20
2025-01-05,P011,120,47,5
2025-01-05,P012,268,30,0
2025-01-05,P013,437,38,0
2025-01-05,P014,432,15,0
2025-01-05,P015,46,35,0
2025-01-05,P016,208,7,0
2025-01-05,P017,139,2,36
2025-01-05,P018,134,45,27
2025-01-05,P019,163,32,0
2025-01-05,P020,63,11,0
2025-01-05,P021,449,37,0
2025-01-05,P022,234,39,0
2025-01-05,P023,475,39,0
2025-01-05,P024,303,6,47
2025-01-05,P025,440,41,95
2025-01-05,P026,51,26,0
2025-01-05,P027,384,19,3
2025-01-05,P028,133,21,0
2025-01-05,P029,274,32,0
2025-01-05,P030,38,8,8
2025-01-05,P031,386,34,31
2025-01-05,P032,182,11,0
2025-01-05,P033,94,25,0
2025-01-05,P034,151,29,38
2025-01-05,P035,476,10,49
2025-01-05,P036,186,36,0
2025-01-05,P037,210,32,0
2025-01-05,P038,115,24,56
2025-01-05,P039,222,45,0
2025-01-05,P040,84,29,0
2025-01-05,P041,162,44,0
2025-01-05,P042,441,18,69
2025-01-05,P043,467,19,0
2025-01-05,P044,418,42,87
2025-01-05,P045,244,15,0
2025-01-05,P046,90,32,0
2025-01-05,P047,397,1,0
2025-01-05,P048,212,24,0
2025-01-05,P049,275,31,40
2025-01-05,P050,383,30,1
2025-01-06,P001,261,40,63
2025-01-06,P002,170,29,0
2025-01-06,P003,335,24,0
2025-01-06,P004,269,45,0
2025-01-06,P005,237,7,0
2025-01-06,P006,489,11,0
2025-01-06,P007,319,35,0
2025-01-06,P008,441,43,61
2025-01-06,P009,211,21,13
2025-01-06,P010,318,7,0
2025-01-06,P011,401,7,8
2025-01-06,P012,320,12,0
2025-01-06,P013,483,35,11
2025-01-06,P014,393,24,0
2025-01-06,P015,65,10,0
2025-01-06,P016,141,35,0
2025-01-06,P017,327,13,0
2025-01-06,P018,457,2,0
2025-01-06,P019,49,4,52
2025-01-06,P020,272,39,0
2025-01-06,P021,73,49,0
2025-01-06,P022,282,46,0
2025-01-06,P023,420,39,18
2025-01-06,P024,432,29,0
2025-01-06,P025,270,16,100
2025-01-06,P026,497,47,0
2025-01-06,P027,445,16,0
2025-01-06,P028,236,23,20
2025-01-06,P029,167,9,0
2025-01-06,P030,435,44,0
2025-01-06,P031,166,20,0
2025-01-06,P032,181,5,83
2025-01-06,P033,204,35,0
2025-01-06,P034,471,31,0
2025-01-06,P035,489,47,0
2025-01-06,P036,136,19,0
2025-01-06,P037,425,26,2
2025-01-06,P038,176,33,0
2025-01-06,P039,65,31,17
2025-01-06,P040,89,16,9
2025-01-06,P041,305,10,0
2025-01-06,P042,292,2,0
2025-01-06,P043,232,15,0
2025-01-06,P044,235,2,0
2025-01-06,P045,283,21,0
2025-01-06,P046,131,6,76
2025-01-06,P047,407,39,0
2025-01-06,P048,439,6,5
2025-01-06,P049,343,23,0
2025-01-06,P050,43,24,0
2025-01-07,P001,336,28,0
2025-01-07,P002,456,11,36
2025-01-07,P003,101,43,0
2025-01-07,P004,425,23,0
2025-01-07,P005,224,40,0
2025-01-07,P006,194,50,43
2025-01-07,P007,419,13,0
2025-01-07,P008,474,34,0
2025-01-07,P009,351,2,0
2025-01-07,P010,460,42,0
2025-01-07,P011,396,31,30
2025-01-07,P012,286,8,0
2025-01-07,P013,113,47,0
2025-01-07,P014,456,48,0
2025-01-07,P015,58,31,0
2025-01-07,P016,400,49,19
2025-01-07,P017,151,38,0
2025-01-07,P018,121,12,0
2025-01-07,P019,134,4,41
2025-01-07,P020,113,44,17
2025-01-07,P021,45,7,27
2025-01-07,P022,73,0,85
2025-01-07,P023,182,38,0
2025-01-07,P024,217,48,97
2025-01-07,P025,190,34,0
2025-01-07,P026,396,5,0
2025-01-07,P027,210,50,78
2025-01-07,P028,385,37,0
2025-01-07,P029,182,47,0
2025-01-07,P030,454,36,0
2025-01-07,P031,251,16,0
2025-01-07,P032,73,43,0
2025-01-07,P033,203,36,0
2025-01-07,P034,364,35,0
2025-01-07,P035,320,50,0
2025-01-07,P036,396,4,0
2025-01-07,P037,421,48,27
2025-01-07,P038,288,23,0
2025-01-07,P039,343,20,51
2025-01-07,P040,147,1,0
2025-01-07,P041,257,37,0
2025-01-07,P042,417,24,43
2025-01-07,P043,232,23,0
2025-01-07,P044,344,40,0
2025-01-07,P045,404,4,0
2025-01-07,P046,403,43,0
2025-01-07,P047,321,0,0
2025-01-07,P048,33,8,58
2025-01-07,P049,263,37,0
2025-01-07,P050,390,8,0
2025-01-08,P001,486,49,0
2025-01-08,P002,436,13,0
2025-01-08,P003,291,4,63
2025-01-08,P004,71,29,0
2025-01-08,P005,248,33,0
2025-01-08,P006,334,42,25
2025-01-08,P007,193,27,0
2025-01-08,P008,179,49,70
2025-01-08,P009,231,9,0
2025-01-08,P010,232,43,0
2025-01-08,P011,494,42,0
2025-01-08,P012,297,9,29
2025-01-08,P013,436,48,0
2025-01-08,P014,218,21,58
2025-01-08,P015,164,7,14
2025-01-08,P016,475,10,75
2025-01-08,P017,308,13,51
2025-01-08,P018,443,23,0
2025-01-08,P019,51,31,0
2025-01-08,P020,142,34,0
2025-01-08,P021,386,25,0
2025-01-08,P022,467,25,0
2025-01-08,P023,406,1,60
2025-01-08,P024,192,42,88
2025-01-08,P025,479,5,0
2025-01-08,P026,95,41,0
2025-01-08,P027,128,26,0
2025-01-08,P028,152,25,0
2025-01-08,P029,260,12,0
2025-01-08,P030,338,20,0
2025-01-08,P031,411,38,0
2025-01-08,P032,427,9,0
2025-01-08,P033,84,8,0
2025-01-08,P034,329,48,18
2025-01-08,P035,253,46,0
2025-01-08,P036,220,3,0
2025-01-08,P037,89,42,0
2025-01-08,P038,417,20,0
2025-01-08,P039,117,26,0
2025-01-08,P040,355,13,0
2025-01-08,P041,129,27,0
2025-01-08,P042,152,28,0
2025-01-08,P043,270,4,0
2025-01-08,P044,256,42,0
2025-01-08,P045,355,14,29
2025-01-08,P046,397,11,64
2025-01-08,P047,321,43,0
2025-01-08,P048,476,47,8
2025-01-08,P049,374,22,0
2025-01-08,P050,228,30,0
2025-01-09,P001,49,27,59
2025-01-09,P002,66,36,0
2025-01-09,P003,350,35,48
2025-01-09,P004,326,23,0
2025-01-09,P005,117,22,0
2025-01-09,P006,251,5,42
2025-01-09,P007,22,15,50
2025-01-09,P008,143,39,0
2025-01-09,P009,498,4,8
2025-01-09,P010,160,14,0
2025-01-09,P011,409,4,0
2025-01-09,P012,395,38,0
2025-01-09,P013,311,12,0
2025-01-09,P014,290,43,0
2025-01-09,P015,184,28,0
2025-01-09,P016,121,1,0
2025-01-09,P017,369,16,0
2025-01-09,P018,496,3,61
2025-01-09,P019,325,22,0
2025-01-09,P020,394,50,0
2025-01-09,P021,42,20,0
2025-01-09,P022,173,7,0
2025-01-09,P023,437,49,0
2025-01-09,P024,366,0,0
2025-01-09,P025,149,39,0
2025-01-09,P026,206,47,0
2025-01-09,P027,270,12,0
2025-01-09,P028,108,37,0
2025-01-09,P029,463,17,0
2025-01-09,P030,446,2,0
2025-01-09,P031,444,23,0
2025-01-09,P032,127,46,0
2025-01-09,P033,386,46,0
2025-01-09,P034,141,49,0
2025-01-09,P035,246,39,0
2025-01-09,P036,197,6,0
2025-01-09,P037,248,12,0
2025-01-09,P038,54,17,0
2025-01-09,P039,484,49,0
2025-01-09,P040,63,25,0
2025-01-09,P041,80,20,24
2025-01-09,P042,486,23,0
2025-01-09,P043,42,25,0
2025-01-09,P044,164,38,0
2025-01-09,P045,399,40,75
2025-01-09,P046,143,40,0
2025-01-09,P047,450,49,0
2025-01-09,P048,428,7,0
2025-01-09,P049,56,40,35
2025-01-09,P050,483,27,73
2025-01-10,P001,27,7,0
2025-01-10,P002,291,6,0
2025-01-10,P003,45,1,100
2025-01-10,P004,179,39,0
2025-01-10,P005,401,9,0
2025-01-10,P006,148,22,95
2025-01-10,P007,105,22,7
2025-01-10,P008,497,7,0
2025-01-10,P009,121,35,0
2025-01-10,P010,282,31,0
2025-01-10,P011,150,50,0
2025-01-10,P012,75,33,0
2025-01-10,P013,432,17,0
2025-01-10,P014,481,17,0
2025-01-10,P015,446,0,0
2025-01-10,P016,235,8,11
2025-01-10,P017,261,43,0
2025-01-10,P018,40,12,0
2025-01-10,P019,114,18,0
2025-01-10,P020,125,39,0
2025-01-10,P021,40,10,0
2025-01-10,P022,268,38,0
2025-01-10,P023,207,47,0
2025-01-10,P024,427,36,0
2025-01-10,P025,97,16,80
2025-01-10,P026,174,39,0
2025-01-10,P027,158,28,0
2025-01-10,P028,210,15,0
2025-01-10,P029,324,49,0
2025-01-10,P030,430,23,0
2025-01-10,P031,166,9,0
2025-01-10,P032,170,40,0
2025-01-10,P033,148,39,0
2025-01-10,P034,419,28,0
2025-01-10,P035,35,15,0
2025-01-10,P036,78,17,0
2025-01-10,P037,294,34,0
2025-01-10,P038,118,7,0
2025-01-10,P039,459,33,0
2025-01-10,P040,198,7,47
2025-01-10,P041,65,10,80
2025-01-10,P042,83,5,29
2025-01-10,P043,455,6,40
2025-01-10,P044,463,30,0
2025-01-10,P045,182,28,0
2025-01-10,P046,51,3,73
2025-01-10,P047,442,9,47
2025-01-10,P048,397,50,0
2025-01-10,P049,369,0,0
2025-01-10,P050,239,35,0
2025-01-11,P001,399,39,0
2025-01-11,P002,90,9,0
2025-01-11,P003,288,14,0
2025-01-11,P004,231,18,0
2025-01-11,P005,275,2,99
2025-01-11,P006,224,30,0
2025-01-11,P007,127,50,11
2025-01-11,P008,96,33,0
2025-01-11,P009,387,10,0
2025-01-11,P010,336,6,2
2025-01-11,P011,401,49,0
2025-01-11,P012,152,14,26
2025-01-11,P013,134,34,0
2025-01-11,P014,450,39,51
2025-01-11,P015,427,37,97
2025-01-11,P016,169,28,69
2025-01-11,P017,182,6,0
2025-01-11,P018,378,1,0
2025-01-11,P019,27,2,0
2025-01-11,P020,107,36,0
2025-01-11,P021,353,6,0
2025-01-11,P022,134,11,36
2025-01-11,P023,153,30,0
2025-01-11,P024,48,20,0
2025-01-11,P025,57,36,0
2025-01-11,P026,291,15,0
2025-01-11,P027,202,0,0
2025-01-11,P028,219,0,0
2025-01-11,P029,43,11,0
2025-01-11,P030,202,8,0
2025-01-11,P031,26,5,0
2025-01-11,P032,311,2,72
2025-01-11,P033,66,2,0
2025-01-11,P034,395,17,0
2025-01-11,P035,212,0,85
2025-01-11,P036,29,16,0
2025-01-11,P037,180,2,0
2025-01-11,P038,348,14,0
2025-01-11,P039,274,22,71
2025-01-11,P040,238,10,9
2025-01-11,P041,335,24,0
2025-01-11,P042,227,7,0
2025-01-11,P043,326,12,0
2025-01-11,P044,116,4,35
2025-01-11,P045,458,22,6
2025-01-11,P046,214,25,78
2025-01-11,P047,417,24,0
2025-01-11,P048,496,7,2
2025-01-11,P049,47,43,0
2025-01-11,P050,35,26,0
2025-01-12,P001,260,46,0
2025-01-12,P002,51,17,0
2025-01-12,P003,350,33,0
2025-01-12,P004,464,16,0
2025-01-12,P005,326,32,0
2025-01-12,P006,454,32,0
2025-01-12,P007,316,44,63
2025-01-12,P008,238,37,59
2025-01-12,P009,278,18,0
2025-01-12,P010,442,29,0
2025-01-12,P011,88,35,0
2025-01-12,P012,312,19,16
2025-01-12,P013,427,25,0
2025-01-12,P014,241,23,65
2025-01-12,P015,356,48,0
2025-01-12,P016,246,17,0
2025-01-12,P017,390,47,0
2025-01-12,P018,465,37,0
2025-01-12,P019,371,50,0
2025-01-12,P020,196,26,0
2025-01-12,P021,391,2,76
2025-01-12,P022,397,35,66
2025-01-12,P023,79,36,52
2025-01-12,P024,199,7,68
2025-01-12,P025,402,43,0
2025-01-12,P026,337,33,0
2025-01-12,P027,203,20,0
2025-01-12,P028,291,23,0
2025-01-12,P029,317,43,44
2025-01-12,P030,453,7,0
2025-01-12,P031,198,5,0
2025-01-12,P032,246,6,0
2025-01-12,P033,32,10,0
2025-01-12,P034,224,18,83
2025-01-12,P035,358,21,0
2025-01-12,P036,460,44,20
2025-01-12,P037,97,5,0
2025-01-12,P038,358,15,0
2025-01-12,P039,167,18,0
2025-01-12,P040,490,33,7
2025-01-12,P041,261,33,50
2025-01-12,P042,305,28,0
2025-01-12,P043,32,31,0
2025-01-12,P044,394,0,0
2025-01-12,P045,358,19,0
2025-01-12,P046,448,0,0
2025-01-12,P047,217,3,0
2025-01-12,P048,207,14,0
2025-01-12,P049,261,1,0
2025-01-12,P050,478,39,0
2025-01-13,P001,80,8,0
2025-01-13,P002,462,41,0
2025-01-13,P003,98,0,100
2025-01-13,P004,187,22,9
2025-01-13,P005,408,16,0
2025-01-13,P006,258,7,0
2025-01-13,P007,228,26,0
2025-01-13,P008,245,38,55
2025-01-13,P009,199,46,3
2025-01-13,P010,283,25,59
2025-01-13,P011,284,22,31
2025-01-13,P012,294,45,0
2025-01-13,P013,84,43,21
2025-01-13,P014,383,14,31
2025-01-13,P015,429,37,63
2025-01-13,P016,403,41,0
2025-01-13,P017,460,3,41
2025-01-13,P018,445,24,67
2025-01-13,P019,51,2,11
2025-01-13,P020,40,40,0
2025-01-13,P021,346,15,0
2025-01-13,P022,304,25,0
2025-01-13,P023,258,34,27
2025-01-13,P024,42,36,0
2025-01-13,P025,343,20,60
2025-01-13,P026,177,27,96
2025-01-13,P027,242,3,0
2025-01-13,P028,21,11,0
2025-01-13,P029,287,47,0
2025-01-13,P030,429,50,0
2025-01-13,P031,470,25,0
2025-01-13,P032,374,35,0
2025-01-13,P033,277,44,0
2025-01-13,P034,153,50,0
2025-01-13,P035,448,12,37
2025-01-13,P036,399,46,0
2025-01-13,P037,139,14,0
2025-01-13,P038,470,43,0
2025-01-13,P039,217,39,60
2025-01-13,P040,402,33,74
2025-01-13,P041,130,32,0
2025-01-13,P042,49,27,0
2025-01-13,P043,217,34,0
2025-01-13,P044,201,10,0
2025-01-13,P045,382,1,96
2025-01-13,P046,456,6,8
2025-01-13,P047,115,37,0
2025-01-13,P048,470,17,80
2025-01-13,P049,393,48,0
2025-01-13,P050,411,0,0
2025-01-14,P001,317,36,0
2025-01-14,P002,117,45,54
2025-01-14,P003,481,13,35
2025-01-14,P004,172,12,0
2025-01-14,P005,351,7,67
2025-01-14,P006,329,6,0
2025-01-14,P007,254,41,43
2025-01-14,P008,289,16,0
2025-01-14,P009,99,6,0
2025-01-14,P010,316,16,0
2025-01-14,P011,110,36,26
2025-01-14,P012,125,37,0
2025-01-14,P013,44,27,0
2025-01-14,P014,300,24,0
2025-01-14,P015,368,29,24
2025-01-14,P016,61,3,0
2025-01-14,P017,374,43,0
2025-01-14,P018,286,12,0
2025-01-14,P019,314,12,0
2025-01-14,P020,37,31,0
2025-01-14,P021,197,12,0
2025-01-14,P022,484,26,0
2025-01-14,P023,275,2,40
2025-01-14,P024,139,12,0
2025-01-14,P025,188,3,0
2025-01-14,P026,241,0,0
2025-01-14,P027,403,4,0
2025-01-14,P028,478,10,0
2025-01-14,P029,421,50,0
2025-01-14,P030,475,50,18
2025-01-14,P031,301,15,0
2025-01-14,P032,43,24,0
2025-01-14,P033,284,40,0
2025-01-14,P034,70,6,0
2025-01-14,P035,265,45,0
2025-01-14,P036,271,12,0
2025-01-14,P037,372,49,0
2025-01-14,P038,133,37,0
2025-01-14,P039,458,13,41
2025-01-14,P040,31,9,0
2025-01-14,P041,124,19,0
2025-01-14,P042,451,11,0
2025-01-14,P043,37,17,0
2025-01-14,P044,207,42,0
2025-01-14,P045,453,39,0
2025-01-14,P046,369,48,0
2025-01-14,P047,384,16,0
2025-01-14,P048,163,29,37
2025-01-14,P049,41,19,0
2025-01-14,P050,385,28,0
2025-01-15,P001,388,2,0
2025-01-15,P002,205,27,0
2025-01-15,P003,423,28,58
2025-01-15,P004,479,18,0
2025-01-15,P005,167,0,0
2025-01-15,P006,112,15,0
2025-01-15,P007,339,49,37
2025-01-15,P008,320,49,0
2025-01-15,P009,458,7,0
2025-01-15,P010,192,2,0
2025-01-15,P011,229,45,0
2025-01-15,P012,322,21,0
2025-01-15,P013,159,36,0
2025-01-15,P014,76,9,81
2025-01-15,P015,229,34,0
2025-01-15,P016,124,0,0
2025-01-15,P017,446,22,0
2025-01-15,P018,277,3,0
2025-01-15,P019,215,19,0
2025-01-15,P020,217,30,0
2025-01-15,P021,431,22,0
2025-01-15,P022,223,3,93
2025-01-15,P023,165,16,16
2025-01-15,P024,214,6,0
2025-01-15,P025,400,46,0
2025-01-15,P026,448,2,0
2025-01-15,P027,210,39,80
2025-01-15,P028,429,2,0
2025-01-15,P029,81,3,0
2025-01-15,P030,93,22,0
2025-01-15,P031,474,35,95
2025-01-15,P032,373,40,0
2025-01-15,P033,284,3,44
2025-01-15,P034,364,26,58
2025-01-15,P035,288,48,0
2025-01-15,P036,358,42,71
2025-01-15,P037,178,19,0
2025-01-15,P038,21,2,40
2025-01-15,P039,212,47,63
2025-01-15,P040,348,40,0
2025-01-15,P041,463,38,0
2025-01-15,P042,212,25,0
2025-01-15,P043,454,8,0
2025-01-15,P044,483,8,0
2025-01-15,P045,434,41,48
2025-01-15,P046,253,34,0
2025-01-15,P047,42,8,0
2025-01-15,P048,338,32,0
2025-01-15,P049,32,20,65
2025-01-15,P050,204,46,0
2025-01-16,P001,463,14,0
2025-01-16,P002,389,38,27
2025-01-16,P003,87,49,0
2025-01-16,P004,52,42,0
2025-01-16,P005,65,17,32
2025-01-16,P006,114,22,0
2025-01-16,P007,138,3,0
2025-01-16,P008,60,35,0
2025-01-16,P009,160,41,94
2025-01-16,P010,248,28,0
2025-01-16,P011,424,18,0
2025-01-16,P012,67,7,0
2025-01-16,P013,383,0,0
2025-01-16,P014,292,16,57
2025-01-16,P015,215,37,0
2025-01-16,P016,197,32,0
2025-01-16,P017,466,30,0
2025-01-16,P018,156,34,0
2025-01-16,P019,178,20,0
2025-01-16,P020,317,16,0
2025-01-16,P021,419,27,72
2025-01-16,P022,55,35,73
2025-01-16,P023,160,22,0
2025-01-16,P024,217,3,27
2025-01-16,P025,317,17,0
2025-01-16,P026,84,32,46
2025-01-16,P027,127,20,0
2025-01-16,P028,300,42,0
2025-01-16,P029,252,33,24
2025-01-16,P030,128,12,0
2025-01-16,P031,264,18,0
2025-01-16,P032,488,42,10
2025-01-16,P033,184,24,5
2025-01-16,P034,211,28,0
2025-01-16,P035,210,43,0
2025-01-16,P036,415,9,0
2025-01-16,P037,208,42,0
2025-01-16,P038,283,49,0
2025-01-16,P039,499,23,23
2025-01-16,P040,355,22,65
2025-01-16,P041,177,12,0
2025-01-16,P042,102,36,18
2025-01-16,P043,340,8,0
2025-01-16,P044,490,20,0
2025-01-16,P045,436,2,0
2025-01-16,P046,82,49,0
2025-01-16,P047,251,43,0
2025-01-16,P048,384,15,0
2025-01-16,P049,256,21,0
2025-01-16,P050,393,31,0
2025-01-17,P001,205,38,54
2025-01-17,P002,48,24,13
2025-01-17,P003,420,6,0
2025-01-17,P004,433,13,0
2025-01-17,P005,138,18,0
2025-01-17,P006,147,20,0
2025-01-17,P007,480,29,82
2025-01-17,P008,185,37,67
2025-01-17,P009,316,4,0
2025-01-17,P010,345,47,0
2025-01-17,P011,137,11,0
2025-01-17,P012,270,41,0
2025-01-17,P013,291,48,0
2025-01-17,P014,488,32,3
2025-01-17,P015,116,5,60
2025-01-17,P016,143,36,0
2025-01-17,P017,221,6,0
2025-01-17,P018,74,23,0
2025-01-17,P019,112,19,0
2025-01-17,P020,353,18,0
2025-01-17,P021,224,17,12
2025-01-17,P022,167,20,10
2025-01-17,P023,208,28,0
2025-01-17,P024,466,18,0
2025-01-17,P025,224,17,0
2025-01-17,P026,29,5,0
2025-01-17,P027,386,32,0
2025-01-17,P028,189,37,0
2025-01-17,P029,98,14,0
2025-01-17,P030,250,40,0
2025-01-17,P031,290,35,0
2025-01-17,P032,113,36,0
2025-01-17,P033,46,16,70
2025-01-17,P034,420,13,71
2025-01-17,P035,314,32,57
2025-01-17,P036,484,34,37
2025-01-17,P037,160,48,87
2025-01-17,P038,177,28,11
2025-01-17,P039,417,3,8
2025-01-17,P040,257,5,0
2025-01-17,P041,302,33,0
2025-01-17,P042,302,19,0
2025-01-17,P043,466,15,0
2025-01-17,P044,490,29,0
2025-01-17,P045,400,48,4
2025-01-17,P046,203,38,0
2025-01-17,P047,24,19,0
2025-01-17,P048,471,49,0
2025-01-17,P049,228,27,0
2025-01-17,P050,429,29,0
2025-01-18,P001,203,17,0
2025-01-18,P002,270,1,81
2025-01-18,P003,21,15,0
2025-01-18,P004,95,24,0
2025-01-18,P005,74,28,0
2025-01-18,P006,344,20,0
2025-01-18,P007,104,21,0
2025-01-18,P008,391,3,0
2025-01-18,P009,38,4,70
2025-01-18,P010,418,33,0
2025-01-18,P011,46,23,0
2025-01-18,P012,136,0,0
2025-01-18,P013,180,49,0
2025-01-18,P014,312,46,0
2025-01-18,P015,384,49,1
2025-01-18,P016,90,6,0
2025-01-18,P017,415,13,0
2025-01-18,P018,409,27,85
2025-01-18,P019,130,9,0
2025-01-18,P020,47,30,0
2025-01-18,P021,102,14,0
